# Czech translation of Soldiers of Anarchy.
#
# Tab separated: resource, key, text. Lines starting with # are ignored and
# \n in the text becomes a newline. Apply it with
#
#     python tools/translate.py --apply _research/translation/cs.tsv
#
# The file is UTF-8 here; translate.py writes it into the game as code page
# 1250, which is what the exe asks Windows for once patch_exe.py --east-europe
# has been run.
#
# Started as a proof that the whole thing works: one interface file, chosen
# because it has both short labels and long descriptions, so it shows at once
# whether the diacritics come out and whether Czech overruns the panels.

TRES_OPTIONS	GOPT_VALUE_ON	zapnuto
TRES_OPTIONS	GOPT_VALUE_OFF	vypnuto
TRES_OPTIONS	GOPT_VALUE_FLAT	mělké
TRES_OPTIONS	GOPT_VALUE_NORMAL	normální
TRES_OPTIONS	GOPT_VALUE_DEEP	hluboké
TRES_OPTIONS	GOPT_VALUE_EASY	vstřícný
TRES_OPTIONS	GOPT_VALUE_HARD	tvrdý
TRES_OPTIONS	GOPT_VALUE_SHORT	krátká
TRES_OPTIONS	GOPT_VALUE_LONG	dlouhá
TRES_OPTIONS	GOPT_NAME_UIPLAYER_MARKER	Značky nad vlastními
TRES_OPTIONS	GOPT_DESC_UIPLAYER_MARKER	Značky nad vlastními jednotkami. Usnadňují je najít v terénu.
TRES_OPTIONS	GOPT_NAME_ENEMY_MARKER	Značky nad nepřáteli
TRES_OPTIONS	GOPT_DESC_ENEMY_MARKER	Značky nad nepřátelskými jednotkami. Usnadňují je najít v terénu.
TRES_OPTIONS	GOPT_NAME_PATHFINDER	Hledání cesty
TRES_OPTIONS	GOPT_DESC_PATHFINDER	Jak důkladně se hledá cesta. Čím hlouběji, tím víc to zatíží počítač.
TRES_OPTIONS	GOPT_NAME_CAMERA_BUNKER	Kamera v bunkru
TRES_OPTIONS	GOPT_DESC_CAMERA_BUNKER	Pohyby kamery v bunkru.
TRES_OPTIONS	GOPT_NAME_PANEL_MOVE	Animace panelů
TRES_OPTIONS	GOPT_DESC_PANEL_MOVE	Animace panelů v bunkru.
TRES_OPTIONS	GOPT_NAME_MINIMAP_UI_OBJECT	Minimapa - vlastní
TRES_OPTIONS	GOPT_DESC_MINIMAP_UI_OBJECT	Zobrazovat vlastní jednotky na minimapě.
TRES_OPTIONS	GOPT_NAME_MINIMAP_ENEMY	Minimapa - nepřátelé
TRES_OPTIONS	GOPT_DESC_MINIMAP_ENEMY	Zobrazovat nepřátelské jednotky na minimapě.
TRES_OPTIONS	GOPT_NAME_MINIMAP_NEUTRAL	Minimapa - neutrální
TRES_OPTIONS	GOPT_DESC_MINIMAP_NEUTRAL	Zobrazovat neutrální jednotky na minimapě.
TRES_OPTIONS	GOPT_NAME_MINIMAP_EMPTY_UNIT	Minimapa - vozidla
TRES_OPTIONS	GOPT_DESC_MINIMAP_EMPTY_UNIT	Zobrazovat prázdná vozidla na minimapě.
TRES_OPTIONS	GOPT_NAME_SHOW_INTRO	Úvodní video
TRES_OPTIONS	GOPT_DESC_SHOW_INTRO	Přehrávat úvodní video.
TRES_OPTIONS	GOPT_NAME_SCREEN_BORDER	Ovládání kamery
TRES_OPTIONS	GOPT_DESC_SCREEN_BORDER	Posouvat kameru myší u okraje obrazovky.
TRES_OPTIONS	GOPT_NAME_TRADING	Povaha obchodníka
TRES_OPTIONS	GOPT_DESC_TRADING	Jak vstřícné ceny obchodník nabízí.
TRES_OPTIONS	GOPT_NAME_REPAIRTIME	Oprava a léčení
TRES_OPTIONS	GOPT_DESC_REPAIRTIME	Jak dlouho trvá opravit vozidlo a vyléčit vojáka.
TRES_OPTIONS	GOPT_NAME_ARMOURTIME	Pancéřování a hormony
TRES_OPTIONS	GOPT_DESC_ARMOURTIME	Jak dlouho trvá opancéřovat vozidlo a ošetřit vojáka hormony.
